SENTENCE_ID	RELATION_ID	SENTENCE	ARGUMENT_1	ARGUMENT_1_CATEGORY	RELATION	ARGUMENT_2	ARGUMENT_2_CATEGORY
1	1	A equipe de Peter_Savolainen, de o Instituto_Real_de_Tecnologia, de Estocolmo, Suécia, constatou que a diversidade genética era maior entre os cães de o leste asiático.	Peter_Savolainen	PER	de	Instituto_Real_de_Tecnologia	ORG
1	2	A equipe de Peter_Savolainen, de o Instituto_Real_de_Tecnologia, de Estocolmo, Suécia, constatou que a diversidade genética era maior entre os cães de o leste asiático.	Instituto_Real_de_Tecnologia	ORG	de	Estocolmo	PLC
1	3	A equipe de Peter_Savolainen, de o Instituto_Real_de_Tecnologia, de Estocolmo, Suécia, constatou que a diversidade genética era maior entre os cães de o leste asiático.	Instituto_Real_de_Tecnologia	ORG	de	Suécia	PLC
2	1	Jennifer_Leonard, de a Universidade_da_Califórnia em Los_Angeles, e colegas de instituições de o Peru e de o México procuraram verificar o material genético de raças de cachorro sabidamente anteriores a a chegada de os europeus.	Jennifer_Leonard	PER	de	Universidade_da_Califórnia	ORG
2	2	Jennifer_Leonard, de a Universidade_da_Califórnia em Los_Angeles, e colegas de instituições de o Peru e de o México procuraram verificar o material genético de raças de cachorro sabidamente anteriores a a chegada de os europeus.	Universidade_da_Califórnia	ORG	em	Los_Angeles	PLC
8	1	Cientistas de o Centro_de_Estudos_de_Saclay, em a França, parecem ter encontrado o primeiro indício de que a Via_Láctea esteja cercada por um verdadeiro campo minado de buracos negros, cerca_de 1 milhão a o todo, eles estimam.	Centro_de_Estudos_de_Saclay	ORG	em	França	PLC
13	1	O projeto, desenvolvido por a USP de Ribeirão, consegue produzir o biodiesel a_partir_de a mistura de óleo vegetal (incluindo o de soja) e etanol, álcool derivado de a cana-de-açúcar.	USP	ORG	de	Ribeirão	PLC
18	1	A conclusão é de Barry_Ellman, de o Centro_para_Estudos_Urbanos_e_Comunitários_da_Universidade_de_Toronto, Canadá.	Barry_Ellman	PER	de	Centro_para_Estudos_Urbanos_e_Comunitários_da_Universidade_de_Toronto	ORG
18	2	A conclusão é de Barry_Ellman, de o Centro_para_Estudos_Urbanos_e_Comunitários_da_Universidade_de_Toronto, Canadá.	Centro_para_Estudos_Urbanos_e_Comunitários_da_Universidade_de_Toronto	ORG	,	Canadá	PLC
24	1	A escavação de este ano, realizada em julho e agosto, foi organizada por o Centro_Nacional_de_Arqueologia_Náutica_e_Subaquática de o Instituto_Português_de_Arqueologia.	Centro_Nacional_de_Arqueologia_Náutica_e_Subaquática	ORG	de	Instituto_Português_de_Arqueologia	ORG
30	1	Adalberto_Veríssimo, de a ONG_Imazon, apresentou estudo segundo o qual as cidades em regiões amazônicas ocupadas de forma predatória duram por_volta_de 23 anos.	Adalberto_Veríssimo	PER	de	ONG_Imazon	ORG
31	1	Em testes in vitro, elas foram eficientes contra o câncer de mama, por_exemplo, afirma Jonas_Perales, de o Laboratório_de_Toxinologia, que coordena os estudos.	Jonas_Perales	PER	de	Laboratório_de_Toxinologia	ORG
32	1	Para Ida_Sano_Martins, que estuda a fisiologia de venenos em o Instituto_Butantan, em São_Paulo, a estratégia poderia vencer algumas limitações de os soros antiofídicos atuais.	Instituto_Butantan	ORG	em	São_Paulo	PLC
